headline,sentiment
Russia-Ukraine crisis: How likely is it to escalate into broader war?,-0.6
Insight: NATO leaves Black Sea exposed as Russia invades Ukraine,-0.7
Mondelez CEO says will close plants in Ukraine if situation becomes 'too dangerous',-0.3
"Russia has launched full-scale invasion of Ukraine, Kyiv says",-0.9
Ukraine conflict: Russian forces attack from three sides,-0.8
"Ukraine conflict world reaction: Sanctions, refugees and fears of war",-0.7
Ukraine conflict: Why Biden won't send troops to Ukraine,-0.2
"Russia attack on Ukraine catastrophe for Europe, say Boris Johnson",-0.8
"Ukraine and Russia 'war': Nigeria, Ghana students dey in 'panic mode' afta Vladimir Putin order military operation",-0.3
Russia Begins Military Operation in Ukraine,-0.8
Ukraine Invasion Is Putin’s Most Aggressive Move Yet to Restore Russia’s Place in the World,-0.6
War on Ukraine Ends Europe’s Dream of Russia as a Friend,-0.5
Oil Prices Surge Above $100 a Barrel After Russia Invades Ukraine,-0.7
Activist Thunberg protests against Ukraine invasion outside Russian embassy in Stockholm,-0.1
Investors rush to money market funds in days before Russia's Ukraine invasion,-0.4
Canadian liquor stores remove Russian vodka from shelves after Ukraine invasion,-0.1
Philip Morris suspends Ukraine operations after Russian invasion,-0.2
Russian forces tighten hold on Kyiv in attempt to topple government,-0.8
Ukrainian Capital Rocked by Explosions as Russia Intensifies Attack,-0.9
"Mockery of West, Warnings to Taiwan Fill Chinese Social Media After Ukraine Invasion",-0.4
Ukraine invasion: Russia restricts social media access,-0.2
Millions in Bitcoin pouring into Ukraine from donors,+0.1
Explosions and gunfire across Kyiv during Russian night assault – video,-0.8
Russian Forces Close In on Ukraine’s Capital as Kyiv Prepares to Fight,-0.8
Pakistan’s Leader Went Ahead With Russia Visit Despite Push to Isolate Putin Over Ukraine,-0.3
Musk says Starlink active in Ukraine as Russian invasion disrupts internet,+0.2
